Name	Set	ImageFile	Category	Color	Type	Faction	Cost	ATK	HP	TEXT
Aya Shameimaru	core	aya	Unit	GREEN	Youkai	Tengu	2	0	2	[Furtive] Once per turn, you can pay 4 GREEN Mana; Add to your hand a GREEN Support Card from your Deck or Graveyard, then, this card gains +3 ATK but remove It's Furtive.
Bubsy Bobcat	core	Bubsy	Unit	BROWN	Beast	-	4	1	2	Respawn 2, Blocker
Cirno, Ice Fairy of the Lake	core	Cirno	Unit	BLUE	Fairy	Gensokyo	4	2	4	Immune to [Frozen]. OPT: You can target an opponent unit and pay up to 2 BLUE mana; Apply [Freeze] stacks to target equal to mana paid, and if you do, gain 1HP (Max: 9)
Copen, the Adept Slayer	core	copen	Unit	RED	Warrior	-	6	5	3	Summons Lola (Pod) when played. Copies effects when destroying units. Applies Armor Break, but only for him.
Deoxys	core	deoxys	Unit	PURPLE	Cosmic	Space	5	3	3	On-Play: Apply one of the following effects: - Gain +3 ATK and [Initiative]. - Gain [Bracing Stance 6] and [Blocker]. - Gain [Dashing Stance 4] and [Combo].
Gardener Youmu	core	Youmu	Unit	BLUE	Youkai	Gensokyo	1	1	1	This card can attack twice before tapping. If you control a Location Support Card, this card has [Initiative].
Giratina	core	giratina1,giratina2	Unit	PURPLE	Cosmic/Divine	Space	8	3||7	7	You can use one of the following effects: [HOPT] - Activate "Distortion World" from your hand or deck. - Shuffle a fielded "Distortion World". If "Distortion World" is fielded, activate the following effects: - Cannot be chosen by opponent Card effects. - [Transform] You can use one of the following effects: [HOPT] - Activate "Distortion World" from your hand or deck. - Shuffle a fielded "Distortion World". If "Distortion World" is fielded, this Unit cannot be chosen by opponent Card effects. If "Distortion World" isn't fielded, [Transform].
Hyde Kido	core	hyde	Unit	PURPLE	Warrior	In-Birth	5	4	4	[Combo] If this card declares an attack, you can pay 5 PURPLE Mana; this card can attack one more time this turn. If this card destroys an Unit by battle, Banish it.
Iku Nagae	core	Iku	Unit	WHITE	Dragon	Dragon Palace	4	3	3	On-Play: [Explore] a cost 5 or lesser Dragon palace faction card (except this card), and if you do; you may invoke it paying half its cost. [Stunning Strike]
Iku Nagae, Beautiful Scarlet Cloth	core	IkuBSC	Unit	WHITE	Dragon	Dragon Palace	8	1	8	On-Invoke: Apply 1 stack of [Stun] to all opponent units. This unit gains ATK equal to Units affected by this effect. Then, you may [Explore] 1 WHITE support card. [Stunning Strike] If this Unit is damaged in combat; apply 2 stacks of [Stun] to the attacking Unit, and if you do, this unit gains 1ATK.
